especie,longitud,latitud
Panstrongylus geniculatus,-75.111944,10.750556
Panstrongylus geniculatus,-74.961944,10.991111
Panstrongylus geniculatus,-74.766944,10.927500
Panstrongylus geniculatus,-74.983333,10.878889
Panstrongylus geniculatus,-75.146111,10.614167
Panstrongylus geniculatus,-75.617500,1.617500
Panstrongylus geniculatus,-73.626944,8.312500
Panstrongylus geniculatus,-73.238889,10.035833
Panstrongylus geniculatus,-73.817778,9.257778
Panstrongylus geniculatus,-73.606944,9.366944
Panstrongylus geniculatus,-73.548611,9.204167
Panstrongylus geniculatus,-73.965000,10.150556
Panstrongylus geniculatus,-73.751944,9.662222
Panstrongylus geniculatus,-73.744444,9.329167
Panstrongylus geniculatus,-73.337500,9.564167
Panstrongylus geniculatus,-73.175000,10.388611
Panstrongylus geniculatus,-73.631667,8.966111
Panstrongylus geniculatus,-73.388333,8.294444
Panstrongylus geniculatus,-73.389167,7.752500
Panstrongylus geniculatus,-73.182500,10.337500
Panstrongylus geniculatus,-73.515278,8.004722
Panstrongylus geniculatus,-73.250556,10.476944
Panstrongylus geniculatus,-72.691944,2.331944
Panstrongylus geniculatus,-72.645833,2.576944
Panstrongylus geniculatus,-73.316600,11.283300
Panstrongylus geniculatus,-73.756667,3.987500
Panstrongylus geniculatus,-72.961111,4.575556
Panstrongylus geniculatus,-72.790556,4.290278
Panstrongylus geniculatus,-73.682500,3.830278
Panstrongylus geniculatus,-73.486389,4.273056
Panstrongylus geniculatus,-73.838889,3.741667
Panstrongylus geniculatus,-73.612778,3.459444
Panstrongylus geniculatus,-73.700556,3.538611
Panstrongylus geniculatus,-73.798611,2.188056
Panstrongylus geniculatus,-74.051667,3.513611
Panstrongylus geniculatus,-72.151944,2.883889
Panstrongylus geniculatus,-73.374444,3.266944
Panstrongylus geniculatus,-73.556111,4.268611
Panstrongylus geniculatus,-73.889444,3.346389
Panstrongylus geniculatus,-73.243611,3.712222
Panstrongylus geniculatus,-74.357500,3.253611
Panstrongylus geniculatus,-73.635000,4.153333
Panstrongylus geniculatus,-73.718056,3.086389
Panstrongylus geniculatus,-72.803056,7.645278
Panstrongylus geniculatus,-72.650278,7.614167
Panstrongylus geniculatus,-72.871667,8.044167
Panstrongylus geniculatus,-73.051111,7.746389
Panstrongylus geniculatus,-72.603889,7.609722
Panstrongylus geniculatus,-73.339722,8.470278
Panstrongylus geniculatus,-72.505278,7.883333
Panstrongylus geniculatus,-72.660000,7.717222
Panstrongylus geniculatus,-73.450833,8.512778
Panstrongylus geniculatus,-73.088333,8.584722
Panstrongylus geniculatus,-72.605000,7.935556
Panstrongylus geniculatus,-72.800833,7.891667
Panstrongylus geniculatus,-73.148889,8.323333
Panstrongylus geniculatus,-72.513333,7.838333
Panstrongylus geniculatus,-72.480556,7.580833
Panstrongylus geniculatus,-72.815833,7.776944
Panstrongylus geniculatus,-73.211389,8.406111
Panstrongylus geniculatus,-72.627778,7.880278
Panstrongylus geniculatus,-72.718611,7.868333
Panstrongylus geniculatus,-72.804722,8.085833
Panstrongylus geniculatus,-73.290000,8.438333
Panstrongylus geniculatus,-72.739444,8.648056
Panstrongylus geniculatus,-72.487500,7.146389
Panstrongylus geniculatus,2.000000,7.833889
Panstrongylus geniculatus,-74.952500,5.125833
Panstrongylus geniculatus,-75.040278,5.155556
Panstrongylus geniculatus,-74.934167,3.751944
Panstrongylus geniculatus,-74.934167,3.862500
Panstrongylus geniculatus,-70.446389,5.507500
Panstrongylus geniculatus,-62.473056,6.187778
Panstrongylus geniculatus,-70.879722,5.129167
