especie,longitud,latitud
Rhodnius prolixus,-72.184172,5.537487
Rhodnius prolixus,-72.037863,5.461558
Rhodnius prolixus,-72.037863,5.461558
Rhodnius prolixus,-72.037863,5.461558
Rhodnius prolixus,-72.037863,5.461558
Rhodnius prolixus,-72.037863,5.461558
Rhodnius prolixus,-72.037863,5.461558
Rhodnius prolixus,-72.290320,5.602379
Rhodnius prolixus,-72.290320,5.602379
Rhodnius prolixus,-72.290320,5.602379
Rhodnius prolixus,-72.290320,5.602379
Rhodnius prolixus,-72.290320,5.602379
Rhodnius prolixus,-72.231621,5.649361
Rhodnius prolixus,-72.231621,5.649361
Rhodnius prolixus,-72.271648,5.621328
Rhodnius prolixus,-72.271648,5.621328
Rhodnius prolixus,-72.271648,5.621328
Rhodnius prolixus,-72.271648,5.621328
Rhodnius prolixus,-72.271648,5.621328
Rhodnius prolixus,-72.021306,5.527846
Rhodnius prolixus,-72.273627,5.551511
Rhodnius prolixus,-72.273627,5.551511
Rhodnius prolixus,-72.273627,5.551511
Rhodnius prolixus,-72.273627,5.551511
Rhodnius prolixus,-72.242071,5.613504
Rhodnius prolixus,-72.242071,5.613504
Rhodnius prolixus,-72.242071,5.613504
Rhodnius prolixus,-72.242071,5.613504
Rhodnius prolixus,-72.242071,5.613504
Rhodnius prolixus,-72.242071,5.613504
Rhodnius prolixus,-72.112509,5.645394
Rhodnius prolixus,-72.112509,5.645394
Rhodnius prolixus,-72.112509,5.645394
Rhodnius prolixus,-72.112509,5.645394
Rhodnius prolixus,-72.134987,5.669191
Rhodnius prolixus,-72.296186,5.522408
Rhodnius prolixus,-72.296186,5.522408
Rhodnius prolixus,-72.296186,5.522408
Rhodnius prolixus,-72.137449,5.549198
Rhodnius prolixus,-71.621609,5.044997
Rhodnius prolixus,-72.085556,5.200556
Rhodnius prolixus,-71.922222,5.028333
Rhodnius prolixus,-71.812000,5.829572
Rhodnius prolixus,-71.812000,5.829572
Rhodnius prolixus,-71.812000,5.829572
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.889444,5.838333
Rhodnius prolixus,-71.853333,5.758200
Rhodnius prolixus,-71.755750,5.700061
Rhodnius prolixus,-71.755750,5.700061
Rhodnius prolixus,-71.413056,5.866667
Rhodnius prolixus,-71.360107,5.662496
Rhodnius prolixus,-71.360107,5.662496
Rhodnius prolixus,-71.360107,5.662496
Rhodnius prolixus,-71.360107,5.662496
Rhodnius prolixus,-71.360107,5.662496
Rhodnius prolixus,-71.501704,5.754581
Rhodnius prolixus,-71.501704,5.754581
Rhodnius prolixus,-71.380556,5.636111
Rhodnius prolixus,-70.719722,5.635556
Rhodnius prolixus,-70.719722,5.635556
Rhodnius prolixus,-70.719722,5.635556
Rhodnius prolixus,-70.719722,5.635556
Rhodnius prolixus,-70.719722,5.635556
Rhodnius prolixus,-70.719722,5.635556
Rhodnius prolixus,-71.686820,5.621991
Rhodnius prolixus,-71.501704,5.754581
Rhodnius prolixus,-71.501704,5.754581
Rhodnius prolixus,-71.501704,5.754581
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.880249,5.824504
Rhodnius prolixus,-71.927778,5.900556
Rhodnius prolixus,-71.927778,5.900556
Rhodnius prolixus,-71.927778,5.900556
Rhodnius prolixus,-71.927778,5.900556
Rhodnius prolixus,-71.927778,5.900556
